"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1939","TestLoginWithInValidEmailAndValidPassword","All Test Suite","Fri Jul 18 13:18:42 BDT 2025","passed","Fri Jul 18 13:18:44 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginWithInValidEmailAndValidPassword"
"","2886","testPageTitle","All Test Suite","Fri Jul 18 13:19:07 BDT 2025","passed","Fri Jul 18 13:19:10 BDT 2025","testcases.WebTest","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.WebTest","testPageTitle"
"","265","TestHomePageTitle","All Test Suite","Fri Jul 18 13:17:35 BDT 2025","failed","Fri Jul 18 13:17:35 BDT 2025","testcases.TestHomePage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestHomePage","TestHomePageTitle"
"","13511","TestLoginWithValidCredentials","All Test Suite","Fri Jul 18 13:17:52 BDT 2025","passed","Fri Jul 18 13:18:06 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginWithValidCredentials"
"","1097","TestLoginEmailWithoutPassword","All Test Suite","Fri Jul 18 13:19:04 BDT 2025","passed","Fri Jul 18 13:19:05 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginEmailWithoutPassword"
"","2261","TestLoginWithInValidCredentials","All Test Suite","Fri Jul 18 13:18:29 BDT 2025","passed","Fri Jul 18 13:18:31 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginWithInValidCredentials"
"","1745","Test Login-Signup button on the Home page","All Test Suite","Fri Jul 18 13:17:43 BDT 2025","passed","Fri Jul 18 13:17:45 BDT 2025","testcases.TestHomePage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestHomePage","TestLoginSignupButton"
"","1126","TestLoginWithoutEmailPassword","All Test Suite","Fri Jul 18 13:18:53 BDT 2025","passed","Fri Jul 18 13:18:54 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginWithoutEmailPassword"
"","1629","TestLoginWithValidEmailAndInvalidPassword","All Test Suite","Fri Jul 18 13:18:17 BDT 2025","passed","Fri Jul 18 13:18:19 BDT 2025","testcases.TestLoginPage","D:/CSE/SQA/Web Automation Projects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestLoginWithValidEmailAndInvalidPassword"
